Name,Product Code,Cost price,MRP,Selling price,Stock,Vendor Name,Vendor Code,Source location
Premium Wireless Headphones,WH-1000XM4,15000,29990,24990,50,Sony India,SONY-IN,Mumbai
Ergonomic Office Chair,ERGO-CH-01,4000,12000,8500,120,Furnitech,FURNI-01,Delhi
Mechanical Keyboard RGB,KBD-MX-RED,2500,6000,4500,85,TechPeripherals,TECH-02,Bangalore
Ultra HD 4K Monitor,MON-27-4K,18000,35000,28000,30,DisplayCorp,DISP-05,Chennai
Noise Cancelling Earbuds,EAR-NC-PRO,3000,8999,6999,200,AudioTech,AUD-03,Pune
Smart Home Hub,HUB-SMART-01,1500,4999,3499,150,IoT Solutions,IOT-01,Hyderabad
Adjustable Standing Desk,DESK-STD-PRO,8000,25000,18000,40,Furnitech,FURNI-01,Delhi
Webcam 1080p,CAM-1080-HD,1200,3999,2499,300,TechPeripherals,TECH-02,Bangalore
Gaming Mouse Wireless,MOU-GM-WL,1800,4500,3200,110,TechPeripherals,TECH-02,Bangalore
USB-C Docking Station,DOCK-USBC-01,2200,6999,4999,75,ConnectAccessories,CONN-01,Mumbai
